SD,Systems Help Desk,,
SD,Systems Assurance,,
SD,Internal Network Operation,,
BD,Non IT & HR Enterprise Services,,
SD,Legal Assurance,,
SD,Internal Audit,,
SD,Security Services,,
SD,Security Assurance,,
SD,Supplier Management,,
SD,Procurement,,
SD,Company Billing & Payments,,
SD,Fixed Asset Register,,
BD,"Buildings, Equipment and Facilities",,
SD,Property Portfolio,,
SD,Site Operations,,
SD,Site Administration,,
SD,Equipment Administration,,
SD,Equipment Maintenance,,
SD,Utilities Administration,,
SD,Building Maintenance,,
BD,Business Command & Control,,
SD,Organizational Model,,
SD,Business Unit Budget,,
SD,Business Unit Financial Analysis,,
SD,Business Unit Financial Operations,,
SD,Business Unit Accounting,,
SD,Business Unit Management,,
SD,Business Unit Operations,,
BD,Finance,,
SD,Financial Statements,,
SD,Financial Control,,
SD,Financial Compliance Resolution,,
SD,Tax Administration,,
BD,Human Resource Management,,
SD,HR Policies & Plan,,
SD,Employee Assignment,,
SD,Employee Record,,
SD,Employee/ Contractor Contract,,
SD,Employee Certification,,
SD,Employee Assessment,,
SD,Employee Payroll & Incentives,,
SD,Travel & Expenses,,
SD,Employee Access Profile,,
SD,Employee Benefits,,
SD,Workforce Training,,
SD,Recruitment,,
BD,Knowledge & Intellectual Property Management,,
SD,Management Manual,,
SD,Intellectual Property Portfolio,,
SD,Knowledge Exchange,,
BD,Corporate Relations,,
SD,Corporate Communications,,
SD,Corporate Alliance/Stake Holder,,
SD,Corporate Relationship,,
SD,Regulatory & Legal Authority,,
SD,Investor Relations,,
BD,Business Direction,,
SD,Corporate Strategy,,
SD,Corporate Policies,,
SD,Product & Service Policies,,
SD,Business Architecture,,
SD,Continuity Planning,,
BD,Document Management & Archive,,
SD,Document Services,,
SD,Archive Services,,
SD,Correspondence,,
